id,name,tags
101,apple iphone 13,electronics smartphone mobile ios a15 bionic camera display
102,samsung galaxy s21,electronics smartphone mobile android snapdragon amoled camera
103,google pixel 6,electronics smartphone android mobile tensor camera ai
104,sony wh-1000xm4,electronics headphones wireless noise-cancelling over-ear audio
105,bose quietcomfort 35,electronics headphones wireless noise-cancelling comfortable audio
106,apple macbook pro,electronics laptop macos apple m1 retina lightweight
107,dell xps 13,electronics laptop windows intel core i7 portable lightweight
108,hp spectre x360,electronics laptop windows convertible touchscreen stylus
109,microsoft surface laptop 4,electronics laptop windows touchscreen intel amd portable
110,asus rog strix g15,electronics laptop gaming amd ryzen nvidia rgb keyboard
111,sony playstation 5,electronics gaming console 4k next-gen dualsense
112,microsoft xbox series x,electronics gaming console 4k next-gen powerful game pass
113,nintendo switch,electronics gaming console portable handheld family-friendly
114,jbl charge 5,electronics speaker portable wireless bluetooth waterproof high-bass
115,sonos one,electronics speaker smart wireless multi-room voice control
116,apple airpods pro,electronics headphones wireless noise-cancelling in-ear spatial audio
117,samsung galaxy buds pro,electronics headphones wireless noise-cancelling water-resistant
118,fitbit charge 5,electronics fitness tracker health sleep monitor waterproof
119,garmin forerunner 945,electronics smartwatch gps multisport fitness heart rate monitor
120,apple watch series 7,electronics smartwatch health fitness ecg heart rate monitor
121,razer blade 15,electronics laptop gaming intel core i7 nvidia high-refresh rgb
122,lenovo thinkpad x1 carbon,electronics laptop windows intel core i7 business durable
123,google nest hub,electronics smart display home control voice assistant
124,amazon echo show 8,electronics smart display alexa voice control home automation
125,oculus quest 2,electronics vr headset standalone wireless gaming motion tracking
126,logitech mx master 3,electronics mouse ergonomic wireless precision customizable
127,anker powercore 10000,electronics portable charger power bank fast charging
128,dji mavic air 2,electronics drone 4k camera aerial photography long-flight obstacle avoidance
129,gopro hero10 black,electronics action camera 4k waterproof rugged stabilization
130,canon eos r5,electronics camera mirrorless 8k video full-frame professional
131,samsung galaxy tab s7,electronics tablet android s pen productivity display
132,apple ipad pro,electronics tablet ios apple pencil productivity retina display
133,lenovo yoga smart tab,electronics tablet android productivity multi-mode display
134,sony alpha a7 iii,electronics camera mirrorless full-frame 4k video
135,nikon z6 ii,electronics camera mirrorless full-frame video dual card slots
136,fujifilm x-t4,electronics camera mirrorless aps-c stabilization 4k video
137,rode nt-usb microphone,electronics microphone usb studio podcasting
138,shure sm7b,electronics microphone xlr studio podcasting broadcast
139,elgato stream deck,electronics streaming controller customizable buttons
140,blue yeti usb microphone,electronics microphone usb podcasting streaming
141,corsair k95 rgb platinum,electronics keyboard gaming mechanical rgb
142,steelseries apex pro,electronics keyboard gaming mechanical rgb customizable
143,hyperx alloy fps pro,electronics keyboard gaming mechanical compact
144,asus tuf gaming a15,electronics laptop gaming amd ryzen rgb keyboard
145,msi gs66 stealth,electronics laptop gaming intel core i7 nvidia rtx thin
146,hp omen 15,electronics laptop gaming amd ryzen nvidia rgb keyboard
147,lg gram 17,electronics laptop windows intel core i7 lightweight
148,dell alienware m15 r4,electronics laptop gaming intel core i7 nvidia rtx rgb
149,roku streaming stick+,electronics streaming media 4k hdr portable voice control
150,chromecast with google tv,electronics streaming media 4k hdr voice control google assistant
